IN,OUT,Initial soc,cap
31,81,33.13,60
30,72,47.85,60
41,94,19.98,60
34,62,36.65,60
48,59,34.88,60
27,67,36.12,60
28,66,26.21,60
26,68,38.01,60
24,81,51.56,60
27,77,54.2,60
44,72,27.76,60
28,59,54.36,60
39,70,25.16,60
32,51,54.75,60
30,73,31.27,60
30,47,16.88,60
32,52,33,60
34,86,20.49,60
40,85,20.82,60
37,51,28.97,60
34,84,50.45,60
46,55,41.22,60
31,80,15.38,60
34,44,34.46,60
44,79,36.19,60
64,93,27.83,60
52,66,19.68,60
30,67,50.07,60
30,71,44.61,60
29,73,10.81,60
30,68,19.27,60
32,43,43.31,60
42,54,27.11,60
32,76,49.05,60
40,64,28.18,60
39,46,32.62,60
44,74,25.93,60
41,46,49.4,60
32,70,39.07,60
39,80,9.18,60
32,69,29.52,60
34,67,37.38,60
40,62,14.96,60
32,58,30.81,60
44,74,20.07,60
28,91,16.72,60
31,61,19.95,60
52,82,50.26,60
22,61,31.82,60
60,80,34.57,60
25,69,19.15,60
38,74,8.95,60
56,87,10.1,60
42,55,27.83,60
33,81,49.89,60
33,69,38.46,60
35,67,26.78,60
32,78,23.67,60
33,49,27.27,60
29,69,17.02,60
35,54,19.93,60
66,81,49.42,60
38,76,17.71,60
28,55,22.48,60
36,76,16.17,60
38,57,44.35,60
35,55,43.44,60
45,57,39.09,60
35,46,50.44,60
30,64,46.22,60
46,82,45.29,60
33,74,45.33,60
63,69,42.58,60
60,81,26.03,60
44,77,49.12,60
27,70,52.73,60
19,72,46.16,60
34,95,28.62,60
33,78,21.09,60
34,54,27.94,60
68,87,14.22,60
36,61,17.95,60
29,70,15.68,60
34,70,14.37,60
26,76,6.52,60
22,72,19.69,60
40,50,20.7,60
31,77,20.83,60
32,74,28.64,60
36,61,17.34,60
28,77,18.39,60
49,91,12.42,60
62,82,34.61,60
30,82,19.19,60
44,93,35.64,60
31,75,50.4,60
28,59,31.6,60
36,59,9.66,60
42,75,38.94,60
19,57,49.75,60
38,83,44.51,60
78,89,55.04,60
30,71,31.44,60
56,69,46.82,60
39,74,35.23,60
26,55,31.05,60
32,80,49.3,60
38,85,39.38,60
43,78,10.99,60
28,61,51.98,60
39,42,48.42,60
38,78,13.93,60
30,62,20.97,60
40,75,24.12,60
22,50,28.17,60
24,65,32.6,60
49,60,17.45,60
72,87,25.62,60
34,41,55.11,60
18,67,22.9,60
30,70,47.56,60
48,71,11.45,60
32,78,54.79,60
41,48,27.38,60
34,68,13.38,60
31,63,35.98,60
58,79,51.35,60
37,69,19.48,60
35,65,51,60
28,68,36.77,60
26,75,46.56,60
49,65,24.58,60
39,66,43.04,60
40,79,36.82,60
30,70,41.69,60
22,84,9.1,60
32,71,26.38,60
34,43,24.11,60
28,70,15.63,60
40,80,28.58,60
34,56,13.02,60
45,86,45.77,60
35,76,30.61,60
29,66,39.78,60
32,92,38.09,60
56,73,43.32,60
22,68,46.68,60
40,45,42.35,60
42,50,28.66,60
37,75,52.87,60
40,64,16.41,60
36,70,37.08,60
33,68,41.26,60
49,76,56.1,60
54,64,45.59,60
18,63,16.1,60
35,85,32.77,60
34,63,51.12,60
70,77,27.42,60
32,77,31.86,60
32,39,37.94,60
26,51,53.53,60
16,92,7.75,60
53,59,51.52,60
44,66,33.97,60
59,73,46.97,60
34,67,22.98,60
32,68,36.86,60
40,59,30.55,60
42,84,36.62,60
32,61,52.97,60
33,83,21.95,60
37,55,44.11,60
26,70,45.1,60
26,64,28.47,60
32,69,59.27,60
53,70,47.81,60
52,66,38.68,60
26,85,40.35,60
40,67,12.33,60
36,75,7.75,60
38,70,7.45,60
30,61,27.27,60
29,80,26.45,60
52,55,56.98,60
71,89,49.93,60
35,56,32.24,60
36,73,10.21,60
49,80,37.65,60
33,69,29.54,60
72,80,48.51,60
47,57,21.74,60
28,38,12.73,60
28,68,36.21,60
42,60,35.54,60
46,57,41.16,60
30,46,40.68,60
27,70,37.11,60
64,77,21.26,60
50,64,50.81,60
32,46,53.93,60
38,69,25.09,60
74,80,41.43,60
28,72,48.06,60
27,59,22.15,60
36,74,53.96,60
40,48,24.74,60
64,73,24.59,60
44,48,51.76,60
28,63,24.85,60
22,59,29.99,60
60,75,19.8,60
31,67,37.74,60
26,68,38.45,60
35,45,24.74,60
75,85,29.9,60
21,52,32.06,60
36,77,23.23,60
35,68,42.4,60
28,71,39.55,60
44,82,50.68,60
42,82,13.93,60
43,61,31.54,60
26,78,31.34,60
52,62,31.57,60
45,83,11.55,60
40,64,49.07,60
25,82,40.12,60
16,78,28.21,60
31,70,34.26,60
26,78,33.47,60
37,77,29.5,60
32,67,37.95,60
28,67,57.02,60
33,73,47.37,60
56,66,26.97,60
62,84,35.14,60
41,62,26.9,60
46,68,33.93,60
17,46,27.13,60
34,57,7.22,60
31,70,17.84,60
38,70,40.95,60
46,58,36.67,60
27,68,23.77,60
36,62,21.57,60
36,54,32.86,60
28,74,13.52,60
46,73,15.09,60
31,58,24.08,60
26,75,46.73,60
32,72,18.9,60
32,85,48.92,60
52,72,26.99,60
29,83,32.62,60
53,54,57.58,60
36,44,25.14,60
26,69,39.88,60
53,60,28.69,60
66,78,50.32,60
32,68,31.89,60
39,75,40.06,60
35,58,37.99,60
30,67,34.37,60
35,74,18.85,60
34,64,54.89,60
28,55,22.06,60
27,91,14.45,60
44,88,16.67,60
30,60,34.55,60
41,54,12.9,60
32,75,41.75,60
27,67,44.45,60
31,66,19.32,60
39,65,35.35,60
22,54,47.48,60
39,83,55.66,60
25,69,29.37,60
30,66,47.18,60
31,39,26.16,60
45,81,54.9,60
43,62,31.74,60
27,65,40.34,60
41,78,19.39,60
34,73,20.13,60
30,69,50.08,60
53,87,40.85,60
35,50,44.17,60
30,81,54.47,60
48,62,20.08,60
40,88,40.04,60
43,67,42.74,60
28,69,44.04,60
31,70,10.31,60
22,53,29.29,60
51,72,27.72,60
43,76,32.98,60
32,47,1.86,60
26,39,21.69,60
38,61,19.95,60
32,70,57.35,60
33,71,45.26,60
35,82,47.96,60
34,61,58.41,60
46,80,10,60
44,56,35.98,60
24,70,37.54,60
22,75,34.73,60
36,82,25.18,60
30,72,38.19,60
24,67,12.53,60
28,70,34.05,60
37,51,26.77,60
36,48,42.69,60
32,75,20.56,60
17,57,33.56,60
74,85,18.5,60
55,65,20.93,60
77,85,56.36,60
30,61,50.51,60
37,63,55.91,60
32,73,21.99,60
28,61,29.2,60
34,91,10.17,60
30,72,33.91,60
36,74,33.19,60
52,74,33.51,60
29,68,51.68,60
28,71,35.8,60
61,70,21.24,60
40,58,26.89,60
31,71,23.93,60
38,49,27.96,60
29,48,30,60
38,48,41.14,60
56,82,43.4,60
30,80,35.86,60
31,75,41.76,60
31,42,53.7,60
36,86,37.29,60
48,70,20.57,60
32,78,41.6,60
30,53,26.1,60
31,71,35.65,60
26,75,7.77,60
32,82,34.69,60
30,81,12.1,60
56,59,53.13,60
30,82,51.28,60
68,76,41.81,60
27,72,29.14,60
47,91,56.03,60
30,67,37.67,60
54,64,36.3,60
39,80,33.32,60
60,94,14.75,60
31,52,47.58,60
54,60,37.73,60
29,73,11.52,60
33,72,44.98,60
20,61,19.88,60
39,77,28.74,60
35,38,56.24,60
39,59,27.75,60
33,71,12.56,60
30,91,49.22,60
30,66,55.33,60
22,77,46.01,60
47,54,41.73,60
26,77,12.59,60
26,61,13.07,60
35,73,9.79,60
57,71,36.17,60
35,40,53.03,60
30,84,44.47,60
32,34,50.04,60
46,61,50.93,60
27,67,24.44,60
39,54,47.33,60
32,64,7.58,60
27,72,15.64,60
40,73,9.25,60
47,73,37.46,60
39,48,44.22,60
30,71,20.55,60
26,51,11.83,60
22,75,20.93,60
52,60,36.6,60
25,66,36,60
20,60,14.7,60
36,62,40.13,60
39,74,58.05,60
35,70,43.43,60
32,78,25.49,60
56,65,25.15,60
32,39,36.24,60
27,77,37.17,60
38,54,28.07,60
56,62,51.5,60
34,79,43.27,60
31,46,38.18,60
34,60,33.81,60
40,46,48.94,60
31,35,57.63,60
33,70,39.52,60
30,65,6.15,60
22,79,54.08,60
38,81,30.54,60
54,73,33.96,60
29,86,20.08,60
34,67,25.9,60
43,82,47.32,60
40,50,28.5,60
32,68,42.09,60
34,72,19.4,60
44,57,10.28,60
31,71,51.31,60
42,50,52.93,60
25,61,55.06,60
58,95,35.86,60
30,61,17.15,60
29,77,28.91,60
39,80,21.77,60
36,69,28.18,60
54,71,22.99,60
40,93,21.48,60
34,83,47.28,60
30,69,10.24,60
32,73,17.71,60
31,67,41.91,60
40,83,22.03,60
25,71,5.97,60
39,71,29.45,60
30,63,53.09,60
43,80,36.42,60
31,70,32.55,60
33,42,43.3,60
28,67,23.61,60
24,57,55.56,60
31,68,11.04,60
58,93,46.17,60
29,47,28.53,60
42,91,51.85,60
24,63,30.45,60
43,89,17.08,60
31,78,15.32,60
34,68,25.91,60
68,90,47.55,60
32,53,20.68,60
28,58,54.78,60
30,79,22.06,60
36,57,11.09,60
55,95,42.57,60
52,61,52.53,60
39,78,39.63,60
33,63,12.15,60
70,84,55.5,60
30,78,22.11,60
41,49,44.39,60
46,63,13.71,60
27,83,16.85,60
44,58,15.12,60
28,61,12.18,60
30,71,17.27,60
38,94,16.24,60
47,83,34.21,60
50,89,34.29,60
26,66,13.25,60
41,71,37.43,60
34,54,14.91,60
36,60,37.48,60
23,71,37.7,60
58,65,39.58,60
28,80,26.07,60
40,59,48.43,60
56,72,49.03,60
34,83,27.08,60
42,66,27.22,60
77,81,42.39,60
26,77,34.5,60
28,75,52.26,60
23,86,53.58,60
69,74,40.43,60
29,72,9.41,60
28,70,34.19,60
40,47,36.14,60
39,60,46.33,60
47,62,50.09,60
33,70,27.2,60
24,56,35.2,60
23,74,26.91,60
44,58,41.16,60
26,73,22.79,60
31,57,46.47,60
68,85,51.64,60
38,68,20.89,60
44,82,31.1,60
61,78,37.99,60
26,44,31.06,60
32,56,36.89,60
39,69,17.36,60
33,74,47.12,60
60,66,32.23,60
44,91,50.09,60
25,89,43.07,60
35,69,32.84,60
29,70,41.54,60
32,66,43.28,60
31,40,22.23,60
34,64,46.74,60
40,85,48.19,60
66,95,25.66,60
36,81,41,60
32,60,41.8,60
42,48,36.27,60
34,42,34.08,60
29,87,15.85,60
23,72,5.93,60
38,52,36.9,60
37,61,10.39,60
22,70,21.31,60
30,85,24.02,60
39,76,10.48,60
38,76,35.9,60
28,61,23.22,60
23,73,9.77,60
84,86,54.19,60
52,65,52.12,60
39,90,25.59,60
48,64,21.17,60
28,69,19.24,60
31,71,51.43,60
41,83,38.48,60
40,54,12.07,60
32,61,34.27,60
35,75,3.6,60
40,63,38.91,60
38,78,29.3,60
42,84,32.03,60
32,77,15.86,60
39,51,29.97,60
44,68,46.43,60
26,54,51.6,60
34,45,37.58,60
66,77,53.04,60
37,59,13.7,60
46,51,37.53,60
23,63,52.45,60
65,90,57.2,60
29,74,33.16,60
55,67,57.25,60
22,63,50.44,60
49,51,51.85,60
36,70,14.02,60
30,42,18.25,60
30,71,46.64,60
31,74,42.33,60
26,70,21.21,60
26,64,35.8,60
50,71,17.74,60
29,54,53.55,60
34,50,51.67,60
50,65,26.2,60
37,82,47.15,60
48,53,47.05,60
49,62,14.75,60
42,71,55.71,60
56,76,28.72,60
26,75,46.71,60
40,76,48.47,60
33,90,39.51,60
32,52,30.48,60
38,46,58.15,60
45,68,15.63,60
28,89,32.41,60
29,72,30.31,60
56,60,50.51,60
23,64,7.66,60
49,87,6.31,60
36,75,23.74,60
28,73,36.8,60
46,58,13.65,60
30,54,44.59,60
61,73,29.73,60
30,89,16.01,60
30,83,31.28,60
30,92,18.29,60
42,62,58.63,60
31,74,26,60
28,86,16.88,60
26,85,52.77,60
49,70,23.8,60
33,50,38.2,60
54,80,44.69,60
21,57,22.49,60
32,67,38.35,60
74,92,46.35,60
37,73,44.27,60
42,87,40.45,60
24,72,39,60
32,74,56.57,60
36,66,28.74,60
33,65,44.77,60
39,74,28.78,60
31,73,16.65,60
29,77,11.73,60
52,69,29.63,60
34,73,33.54,60
71,78,56.54,60
30,81,8.21,60
34,72,43.78,60
32,55,6.52,60
43,75,44.48,60
36,71,16.99,60
29,72,11.48,60
32,84,51.26,60
40,52,38.77,60
32,44,6.5,60
57,72,10.23,60
44,66,9.74,60
62,72,50.44,60
43,53,15.3,60
24,71,19.04,60
24,75,40.84,60
42,93,1.96,60
41,68,30.33,60
30,70,25.11,60
52,60,48.91,60
29,68,34.96,60
65,70,42.84,60
62,71,37.91,60
30,87,29.17,60
32,70,22.1,60
40,48,45.56,60
37,53,47.76,60
32,71,17.9,60
36,70,52.4,60
27,65,28.59,60
33,70,50.05,60
35,44,44.95,60
34,64,51.4,60
68,79,32.29,60
34,59,52.52,60
29,73,54.57,60
31,70,26.75,60
29,84,53.75,60
61,79,12.3,60
47,84,49.01,60
28,71,22.48,60
54,69,32.71,60
69,88,32.95,60
69,73,51.06,60
40,61,31.86,60
39,69,52.18,60
61,85,13.77,60
42,56,38.17,60
32,56,36.12,60
32,46,35.83,60
49,84,20.48,60
26,76,49.01,60
40,90,35.87,60
29,66,16.3,60
28,70,37.79,60
37,67,57.51,60
27,65,17.17,60
30,62,24.61,60
24,65,32.29,60
38,75,32.71,60
24,83,53.04,60
32,57,57.64,60
26,68,36.53,60
28,67,16.78,60
34,82,23.53,60
67,71,51.04,60
20,65,9.45,60
37,77,36.59,60
40,74,21.41,60
30,71,27.16,60
41,68,29.97,60
31,72,33.14,60
32,68,24.26,60
23,68,38.53,60
39,62,35.32,60
39,58,22.65,60
18,93,10.06,60
32,62,36.59,60
37,95,16.42,60
29,68,52.64,60
25,83,45.29,60
39,66,23.52,60
30,65,37.7,60
44,92,16.65,60
34,59,34.19,60
44,95,11.83,60
36,70,23.34,60
61,69,45.65,60
33,64,20.91,60
56,64,42.67,60
33,50,15.81,60
28,64,25.92,60
50,64,22.58,60
68,73,42.08,60
55,68,58.97,60
37,79,26.2,60
32,73,54.23,60
28,76,25.96,60
42,75,2.83,60
23,76,49.04,60
33,68,46.36,60
20,76,22.67,60
44,72,20.11,60
53,67,29.15,60
32,58,18.59,60
42,69,27.82,60
36,58,22.67,60
54,90,28.39,60
81,85,42.02,60
34,64,21.98,60
74,80,33.88,60
31,56,41.82,60
30,87,23.32,60
26,66,15.98,60
34,80,41.9,60
36,71,27.76,60
30,70,12.98,60
51,76,22.65,60
26,86,31.18,60
41,65,38.03,60
23,65,14.82,60
28,66,8.16,60
36,53,21.63,60
64,83,24.78,60
30,79,18.22,60
45,61,11.05,60
38,82,40.04,60
44,55,27.78,60
26,74,31.94,60
26,88,17.28,60
49,64,20.42,60
28,62,36.76,60
43,56,12.9,60
29,74,52.43,60
35,88,27.32,60
30,76,28.05,60
40,50,46.63,60
30,81,47.71,60
26,68,47.42,60
47,77,49.56,60
21,63,24.66,60
32,73,45.86,60
27,71,11.81,60
24,61,52.86,60
35,81,25.95,60
68,73,44.38,60
30,54,57.57,60
28,86,43.32,60
31,67,44.77,60
44,77,24.46,60
27,70,39.44,60
22,70,29.21,60
72,82,50.74,60
28,72,13.16,60
60,65,53.66,60
23,65,27.5,60
55,77,25.22,60
47,86,51.54,60
29,68,43.13,60
34,61,43.57,60
28,62,39.24,60
50,82,57.89,60
39,59,38.84,60
41,66,41.46,60
32,75,56.31,60
60,63,59,60
27,78,27.69,60
24,76,32.28,60
24,74,18.74,60
35,65,37.15,60
20,53,42.3,60
43,64,53.34,60
28,69,36.3,60
26,79,28.37,60
51,88,47.96,60
38,57,21.87,60
48,87,13.31,60
42,56,42.25,60
33,58,13.39,60
23,55,21.82,60
31,78,49.72,60
40,53,25.59,60
30,73,50.85,60
59,94,26.1,60
32,69,31.65,60
39,64,40.39,60
26,76,30.29,60
58,64,48.1,60
30,91,9.98,60
31,84,25.24,60
39,50,50.69,60
42,67,49.5,60
68,76,31.47,60
30,77,23.78,60
22,60,22.56,60
31,70,54.28,60
27,72,28.81,60
45,67,14.19,60
24,53,30.66,60
48,65,21.51,60
28,48,26.68,60
50,52,53.11,60
29,73,48.85,60
43,86,22.41,60
30,49,30.61,60
31,69,23.29,60
33,49,31.74,60
44,62,24.81,60
43,77,21.11,60
28,80,19.81,60
37,74,39.47,60
64,78,58.46,60
30,69,25.31,60
51,82,23.09,60
40,65,56.76,60
40,89,12.04,60
38,43,58.07,60
32,60,14.57,60
28,75,22.31,60
33,70,28.75,60
28,77,55.18,60
49,85,29.7,60
31,63,25.1,60
37,84,18.57,60
50,69,37.22,60
48,85,34.39,60
28,65,41.88,60
22,67,53.88,60
28,73,36.61,60
29,76,50.67,60
38,78,13.21,60
32,57,30.16,60
30,61,42,60
21,44,25.85,60
30,66,45.07,60
27,69,48.94,60
54,77,57.92,60
34,45,29.32,60
39,74,31.32,60
37,54,12.26,60
33,75,29.96,60
28,71,30.11,60
28,80,37.59,60
30,71,14.99,60
58,76,10.11,60
36,77,40.12,60
28,70,49.41,60
32,80,12.17,60
26,65,29.67,60
62,71,28.1,60
34,77,44.89,60
27,77,49.52,60
28,80,30.9,60
24,65,19.5,60
27,75,13.46,60
28,66,25.23,60
34,85,17.11,60
23,79,42.67,60
18,70,28.93,60
57,71,33.36,60
22,68,35.48,60
34,73,51.95,60
35,66,43.41,60
31,62,11.76,60
30,66,44.36,60
38,49,10.99,60
30,94,56.17,60
28,64,56.14,60
23,71,18.95,60
31,73,28.88,60
30,76,25.47,60
49,88,20.2,60
44,53,31.63,60
32,67,47.08,60
46,61,27.48,60
27,71,22.57,60
27,89,52.28,60
31,84,46.26,60
68,80,41.14,60
26,62,27.79,60
26,80,31.96,60
41,63,49.36,60
32,41,21.82,60
33,44,39.81,60
33,83,0.65,60
32,56,38.31,60
35,44,19.14,60
30,75,56.58,60
36,80,40.67,60
31,66,8.81,60
28,73,17.5,60
33,42,17.08,60
35,73,12.44,60
27,72,48.89,60
48,65,45.6,60
20,75,44.03,60
30,68,45.01,60
32,73,38.55,60
23,61,18.56,60
52,68,13.17,60
45,52,57.09,60
28,78,57,60
62,95,55.24,60
30,83,46.56,60
32,52,49.85,60
34,84,53.12,60
28,70,55.84,60
34,76,46.49,60
65,76,39.14,60
24,70,41.35,60
22,69,41.05,60
75,83,39.81,60
52,67,10.89,60
56,73,24.34,60
41,51,17.17,60
36,70,19.64,60
38,76,12.66,60
27,80,53.95,60
54,92,46.64,60
36,66,38.21,60
28,69,41.98,60
33,81,35.62,60
45,70,24.95,60
41,44,53.44,60
61,75,12.09,60
38,54,44.09,60
30,78,33.23,60
27,69,42.39,60
28,68,44.51,60
41,69,39.8,60
31,74,30.67,60
24,64,35.94,60
29,73,46.54,60
36,55,50.15,60
34,74,9.24,60
44,57,12.67,60
56,67,19.13,60
24,57,49.58,60
62,74,16.38,60
40,78,31.89,60
34,77,20.47,60
32,66,46.75,60
40,47,26.63,60
26,67,24.34,60
28,65,27.16,60
81,90,52.73,60
27,71,45.3,60
35,57,40.95,60
46,72,49.75,60
44,52,30.61,60
31,80,39.21,60
28,63,47.67,60
50,73,14.11,60
34,45,24.79,60
20,71,49.88,60
38,85,8.86,60
46,56,16.67,60
32,73,48.37,60
38,67,37.65,60
39,69,52.22,60
33,79,56.82,60
32,73,7.63,60
50,81,49.38,60
30,88,13.83,60
62,74,0.48,60
24,65,20.11,60
52,87,58.72,60
25,72,36.2,60
36,66,15.74,60
27,63,51.64,60
47,83,56.7,60
26,65,30.82,60
45,53,27.1,60
48,75,25.6,60
30,41,45.19,60
44,55,44.02,60
57,71,52.86,60
52,95,49.18,60
27,70,22.79,60
27,71,30.21,60
28,65,57.14,60
22,49,11.68,60
40,59,42.15,60
42,55,38.46,60
28,71,27.71,60
36,65,50.18,60
26,82,43.46,60
52,63,20.3,60
28,78,47.25,60
38,48,17.78,60
26,71,37.21,60
48,80,44.99,60
28,79,41.74,60
24,69,6.87,60
56,69,12.53,60
34,43,30.21,60
40,66,40.34,60
26,85,10.58,60
38,80,24.81,60
30,66,30.36,60
35,83,28.38,60
33,64,48.03,60
40,69,39.45,60
30,77,32.67,60
35,69,33.95,60
59,80,32.47,60
50,74,53.78,60
48,75,38.66,60
53,63,25.17,60
31,61,19.11,60
35,85,28.28,60
35,68,18,60
31,47,12.51,60
40,72,44.15,60
24,82,17.68,60
32,47,36.33,60
35,76,15.26,60
35,73,15.67,60
29,73,32.47,60
29,72,30.95,60
66,95,14.64,60
35,86,11.55,60
28,76,36.32,60
27,85,58.39,60
21,73,31.55,60
28,69,33.16,60
30,62,55.02,60
30,59,36.69,60
31,78,13.74,60
41,57,12.01,60
30,71,14.05,60
30,67,14.78,60
40,46,47.49,60
34,63,41.09,60
34,78,57.6,60
34,68,13.75,60
31,61,39.83,60
38,83,50.26,60
28,29,56.82,60
37,67,48.99,60
36,83,32.58,60
36,62,0.39,60
29,82,15.73,60
53,63,43.03,60
38,86,18.7,60
31,66,27.35,60
30,74,14.57,60
28,64,25.86,60
28,72,14.3,60
37,62,17.68,60
31,52,49.23,60
32,82,33.1,60
35,44,36.29,60
31,83,52.83,60
35,93,46.19,60
35,82,30.09,60
34,72,26.46,60
30,67,15.01,60
21,81,26.6,60
38,40,51.28,60
31,52,18.04,60
31,65,41.48,60
32,70,56.77,60
48,67,55.38,60
22,65,10.93,60
36,53,57.62,60
22,60,56.25,60
30,70,47.08,60
28,91,15.04,60
39,55,50.28,60
26,65,13.13,60
56,84,50.95,60
30,73,46.23,60
52,75,12.93,60
26,66,26.8,60
29,73,9.63,60
22,74,19.69,60
26,78,23.51,60
44,57,32.68,60
50,87,39.95,60
35,57,50.48,60
41,72,11.15,60
35,62,12.14,60
40,77,44.16,60
28,61,42.04,60
32,72,52.89,60
31,67,15.21,60
71,88,18.51,60
42,90,50.51,60
28,53,18.91,60
20,26,51.51,60
24,70,54.38,60
37,66,52.19,60
24,67,20.81,60
42,77,34.58,60
47,83,26.84,60
42,80,55.24,60
18,70,22.68,60
30,67,11.31,60
46,55,58.49,60
40,86,53.77,60
31,73,24.37,60
36,48,51.42,60
22,55,18.62,60
40,74,20.49,60
50,60,29.32,60
51,76,24.72,60
27,63,14.65,60
24,46,15.27,60
40,48,54.29,60
26,70,39.27,60
21,61,25.15,60
32,72,36.94,60
44,94,23.61,60
52,75,22.58,60
42,69,44.82,60
34,70,13.78,60
28,68,15.44,60
29,86,39.45,60
48,74,33.08,60
32,55,12.39,60
34,66,52.99,60
32,71,50.66,60
45,71,51.86,60
25,80,13.62,60
24,66,22.99,60
32,67,24.6,60
36,83,30.33,60
29,49,45.51,60
44,49,47.91,60
31,91,16.71,60
41,45,44.13,60
41,73,4.8,60
62,69,48.09,60
30,51,32.82,60
42,72,36.81,60
30,87,24.93,60
23,63,9.31,60
23,75,59.09,60
30,78,30.71,60
30,61,17.73,60
41,69,55.31,60
24,88,44.73,60
44,54,17,60
70,93,17.13,60
56,87,21.34,60
23,28,47.42,60
26,80,45.46,60
28,78,14.45,60
31,79,18.87,60
38,64,17.35,60
48,61,58.95,60
16,69,17.16,60
40,66,33.53,60
40,45,56.76,60
36,92,21.06,60
30,81,53.38,60
30,72,23.43,60
25,71,13.46,60
41,61,13.29,60
23,60,47.19,60
28,68,49.09,60
28,65,30.89,60
29,79,32.92,60
34,49,49.22,60
49,75,13.87,60
30,82,18.37,60
34,73,22.72,60
39,61,35.14,60
35,60,28.63,60
40,56,38.51,60
